,Company,Ticker
0,Select Company,fuck
1,20 Microns Limited,20MICRONS.NS
2,21st Century Management Services Limited,21STCENMGM.NS
3,3i Infotech Limited,3IINFOLTD.NS
4,3M India Limited,3MINDIA.NS
5,3P Land Holdings Limited,3PLAND.NS
6,5Paisa Capital Limited,5PAISA.NS
7,63 moons technologies limited,63MOONS.NS
8,8K Miles Software Services Limited,8KMILES.NS
9,A2Z Infra Engineering Limited,A2ZINFRA.NS
10,Aakash Exploration Services Limited,AAKASH.NS
11,Aaron Industries Limited,AARON.NS
12,Aarti Drugs Limited,AARTIDRUGS.NS
13,Aarti Industries Limited,AARTIIND.NS
14,Aarti Surfactants Limited,AARTISURF.NS
15,Aarvee Denims & Exports Limited,AARVEEDEN.NS
16,Aarvi Encon Limited,AARVI.NS
17,Aavas Financiers Limited,AAVAS.NS
18,Aban Offshore Limited,ABAN.NS
19,ABB India Limited,ABB.NS
20,Abbott India Limited,ABBOTINDIA.NS
21,Aditya Birla Capital Limited,ABCAPITAL.NS
22,Aditya Birla Fashion and Retail Limited,ABFRL.NS
23,ABM International Limited,ABMINTLTD.NS
24,ACC Limited,ACC.NS
25,Accelya Solutions India Limited,ACCELYA.NS
26,Accuracy Shipping Limited,ACCURACY.NS
27,Action Construction Equipment Limited,ACE.NS
28,Acrysil Limited,ACRYSIL.NS
29,Adani Enterprises Limited,ADANIENT.NS
30,Adani Green Energy Limited,ADANIGREEN.NS
31,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
32,Adani Power Limited,ADANIPOWER.NS
33,Adani Transmission Limited,ADANITRANS.NS
34,ADF Foods Limited,ADFFOODS.NS
35,Adhunik Industries Limited,ADHUNIKIND.NS
36,Archidply Decor Limited,ADL.NS
37,Ador Welding Limited,ADORWELD.NS
38,Adroit Infotech Limited,ADROITINFO.NS
39,Allied Digital Services Limited,ADSL.NS
40,Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS
41,Advanced Enzyme Technologies Limited,ADVENZYMES.NS
42,Aegis Logistics Limited,AEGISCHEM.NS
